"Clust","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","Lat.100","Long.100","x","y"
"S.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,57.06781352,-2.925143808,344000.001017102,797800.000668655
"S.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,56.26833467,-4.758840994,229250.001172917,711850.002856343
"S.100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,57.31616258,-4.769154427,233330.001135416,828460.002581375
"S.1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.4853277414963,-4.56386389451174,246400.001095342,846800.002260563
"S.1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,57.5228804720492,-4.57318146987461,246000.001096465,851000.002294349
"S.1002",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,57.5767205899742,-4.57698263027278,246000.001096359,857000.002309299
"S.1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,57.8478783605044,-4.5879074300433,246500.001094204,887200.002355401
"S.1004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.7268117952942,-4.57589312632004,246700.001093887,873700.00230928
"S.1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.4881551824322,-4.55738735354966,246800.001094159,847100.002238202
"S.1006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.2136228714493,-4.53504425782118,247000.001094187,816500.002154741
"S.1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.7252215744278,-4.56570234155491,247300.001092085,873500.002273383
"S.1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,57.4926615744382,-4.54785607589961,247390.001092446,847580.002205813
"S.1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,57.203884733279,-4.52775305213969,247400.00109311,815400.002130469
"S.101",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,57.31596487,-4.769970052,233280.001106553,828440.002893798
