"Clust","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"S.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16667795181274,NA,NA,NA,NA,NA,NA
"S.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24232625961304,NA
"S.100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01378512382507,NA,NA,NA
"S.1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14190149307251,NA,NA,NA,NA,NA
"S.1001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7567081451416,1.78525161743164,NA,NA,NA
"S.1002",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.221848487854,NA,NA,NA,NA,NA,NA
"S.1003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53929996490479,NA,NA,NA,NA
"S.1004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98146820068359,NA,NA,NA
"S.1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14190149307251,NA,NA,NA,NA,NA
"S.1006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32199347019196,NA,NA,NA
"S.1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73075437545776,NA,NA,NA
"S.1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90012001991272,NA,NA,NA,NA,NA
"S.1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49144983291626,NA,NA,NA
"S.101",NA,NA,6.3737096786499,NA,NA,NA,NA,NA,NA,NA,NA,1.63408529758453,2.01378512382507,NA,NA,NA
"S.1010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4588440656662,NA,NA,NA
"S.1011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80706405639648,NA,NA,NA,NA
"S.1012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991819381713867,NA,NA,NA
"S.1014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989602506160736,NA,NA,NA
"S.1015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85915672779083,NA,NA,NA,NA,NA
"S.1016",NA,NA,NA,NA,NA,NA,NA,1.7579470872879,2.06030082702637,NA,0.981184661388397,NA,NA,NA,NA,NA
"S.1017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67358541488647
"S.1018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04030847549438,NA,NA,NA,NA
"S.1019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988234877586365,NA,NA,NA
"S.102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01378512382507,NA,NA,NA
"S.1020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.41913795471191,NA,NA,NA,NA,NA
"S.1021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.32977771759033,NA,NA,2.05808067321777
"S.1022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.59731245040894,NA,NA,NA
"S.1023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58127164840698,NA,NA,NA
"S.1024",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38250398635864,NA,NA,2.17223393917084,3.67409706115723,1.53746175765991,2.06806015968323
"S.1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.70751333236694,NA,NA,NA,NA,NA,NA
